PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS
1630181,R.J. Hampton,0.21649484536082475,0.23195876288659795,0.13917525773195877,0.15257731958762888,0.13696907216494844,0.13505154639175257,0.14432989690721648,0.13530927835051546,0.13505154639175257,0.13711340206185568,0.13917525773195877,0.1422680412371134,0.14432989690721648,0.13814432989690723,0.13402061855670103,0.13402061855670103,0.14742268041237114,0.16082474226804122
1629628,RJ Barrett,0.7319587628865979,0.46082474226804127,0.211340206185567,0.29072164948453605,0.13912371134020618,0.15051546391752577,0.17835051546391753,0.1377319587628866,0.1711340206185567,0.14329896907216494,0.18041237113402062,0.18969072164948453,0.16804123711340208,0.15670103092783505,0.13917525773195877,0.13814432989690723,0.3422680412371134,0.10721649484536083
1630564,RaiQuan Gray,0.16494845360824742,0.26804123711340205,0.16804123711340208,0.19278350515463916,0.14008247422680412,0.14432989690721648,0.1577319587628866,0.13844329896907218,0.13402061855670103,0.14123711340206185,0.1515463917525773,0.1577319587628866,0.15463917525773196,0.13711340206185568,0.13711340206185568,0.13711340206185568,0.2134020618556701,0.1824742268041237
1641712,Rayan Rupert,0.5360824742268041,0.30103092783505153,0.14845360824742268,0.17628865979381445,0.13747422680412372,0.14123711340206185,0.15463917525773196,0.13772164948453608,0.13917525773195877,0.1402061855670103,0.1515463917525773,0.15876288659793814,0.15051546391752577,0.1422680412371134,0.13711340206185568,0.13505154639175257,0.17525773195876287,0.10103092783505155
203493,Reggie Bullock Jr.,0.5876288659793815,0.23195876288659795,0.1422680412371134,0.15360824742268042,0.13829896907216493,0.1402061855670103,0.14948453608247422,0.13817525773195877,0.13402061855670103,0.13505154639175257,0.14948453608247422,0.1515463917525773,0.13711340206185568,0.1360824742268041,0.13711340206185568,0.13505154639175257,0.15670103092783505,0.12164948453608249
202704,Reggie Jackson,0.979381443298969,0.3628865979381444,0.17525773195876287,0.2288659793814433,0.1384639175257732,0.14639175257731957,0.17010309278350516,0.13772164948453608,0.14432989690721648,0.13814432989690723,0.14948453608247422,0.15360824742268042,0.1731958762886598,0.14742268041237114,0.13917525773195877,0.13505154639175257,0.23917525773195875,0.14432989690721648
1626158,Richaun Holmes,0.5463917525773195,0.27731958762886594,0.1556701030927835,0.17216494845360825,0.13977319587628867,0.13402061855670103,0.13505154639175257,0.13745360824742267,0.14329896907216494,0.15257731958762888,0.16288659793814433,0.1814432989690722,0.1402061855670103,0.1402061855670103,0.13711340206185568,0.13917525773195877,0.18556701030927836,0.11030927835051546
1641741,Ricky Council IV,0.4639175257731959,0.2268041237113402,0.1515463917525773,0.17010309278350516,0.1389896907216495,0.13814432989690723,0.14432989690721648,0.13788659793814434,0.1515463917525773,0.13814432989690723,0.14432989690721648,0.14845360824742268,0.13917525773195877,0.1360824742268041,0.13711340206185568,0.13402061855670103,0.18969072164948453,0.13814432989690723
203496,Robert Covington,0.4329896907216495,0.30721649484536084,0.14948453608247422,0.1690721649484536,0.13854639175257732,0.14123711340206185,0.15360824742268042,0.13751546391752578,0.1422680412371134,0.14536082474226802,0.1577319587628866,0.16804123711340208,0.1422680412371134,0.13814432989690723,0.14742268041237114,0.1402061855670103,0.17938144329896905,0.1711340206185567
1629057,Robert Williams III,0.1958762886597938,0.3381443298969072,0.16288659793814433,0.17835051546391753,0.14076288659793815,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.14639175257731957,0.15257731958762888,0.18041237113402062,0.19896907216494847,0.1422680412371134,0.14639175257731957,0.14639175257731957,0.14639175257731957,0.20412371134020618,0.08247422680412371
201577,Robin Lopez,0.29896907216494845,0.17525773195876287,0.13814432989690723,0.14639175257731957,0.13781443298969073,0.13505154639175257,0.13917525773195877,0.13659793814432988,0.13505154639175257,0.1360824742268041,0.13505154639175257,0.13711340206185568,0.13711340206185568,0.13505154639175257,0.13505154639175257,0.1360824742268041,0.14536082474226802,0.11958762886597937
1631199,Ron Harper Jr.,0.14432989690721648,0.17216494845360825,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.14432989690721648,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.041237113402061855
1626220,Royce O'Neale,0.9484536082474226,0.388659793814433,0.16185567010309276,0.20412371134020618,0.13811340206185568,0.15463917525773196,0.18865979381443299,0.13783505154639175,0.13711340206185568,0.1422680412371134,0.17525773195876287,0.18350515463917527,0.16288659793814433,0.14329896907216494,0.14123711340206185,0.1402061855670103,0.2134020618556701,0.14948453608247422
203497,Rudy Gobert,0.9175257731958762,0.48556701030927835,0.18865979381443299,0.2175257731958763,0.14083505154639175,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.16804123711340208,0.1731958762886598,0.2288659793814433,0.2670103092783505,0.14742268041237114,0.15051546391752577,0.14123711340206185,0.1556701030927835,0.27835051546391754,0.18969072164948453
1629060,Rui Hachimura,0.8350515463917526,0.41030927835051545,0.18865979381443299,0.23608247422680412,0.13955670103092785,0.14845360824742268,0.1690721649484536,0.13837113402061857,0.14948453608247422,0.14329896907216494,0.17010309278350516,0.17835051546391753,0.14639175257731957,0.14123711340206185,0.1402061855670103,0.13814432989690723,0.27422680412371137,0.15257731958762888
201566,Russell Westbrook,0.8350515463917526,0.36597938144329895,0.17938144329896905,0.23505154639175257,0.13870103092783506,0.1402061855670103,0.1577319587628866,0.13683505154639175,0.15051546391752577,0.14845360824742268,0.17216494845360825,0.18556701030927836,0.18041237113402062,0.1556701030927835,0.14536082474226802,0.13711340206185568,0.24845360824742269,0.14948453608247422
1627853,Ryan Arcidiacono,0.3402061855670103,0.1577319587628866,0.13402061855670103,0.13711340206185568,0.13402061855670103,0.13402061855670103,0.13711340206185568,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13814432989690723,0.13814432989690723,0.1360824742268041,0.13505154639175257,0.13505154639175257,0.13402061855670103,0.13402061855670103,0.13505154639175257
