Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
29,De'Aaron Fox,PG,26,SAC,74,2659,20.1,.567,.374,.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31.0,,3.3,3.2,6.5,.117,,2.6,0.1,2.7,3.2,foxde01
30,Evan Mobley,PF,22,CLE,50,1532,20.1,.626,.107,.310,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,,2.8,2.7,5.5,.174,,0.9,2.0,2.9,1.9,mobleev01
31,Collin Sexton,SG,25,UTA,78,2075,19.9,.607,.313,.356,3.8,7.1,5.4,29.5,1.4,0.8,12.1,27.5,,5.2,0.3,5.5,.127,,3.8,-1.9,1.9,2.0,sextoco01
32,Bam Adebayo,C,26,MIA,71,2416,19.8,.576,.041,.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,,2.9,4.3,7.2,.144,,0.8,1.7,2.4,2.7,adebaba01
33,Tyrese Maxey,PG,23,PHI,70,2626,19.8,.573,.401,.266,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28.0,,5.9,2.1,8.1,.147,,4.1,-1.0,3.1,3.4,maxeyty01
34,Jonas Valančiūnas,C,31,NOP,82,1925,19.8,.619,.167,.285,10.9,30.6,20.9,13.3,0.8,3.5,12.1,20.8,,3.9,3.1,7.1,.177,,0.7,0.5,1.2,1.6,valanjo01
35,DeMar DeRozan,SF,34,CHI,79,2989,19.7,.584,.166,.452,1.6,11.3,6.4,21.8,1.5,1.5,7.7,25.8,,7.0,2.2,9.2,.147,,2.1,-0.3,1.8,2.8,derozde01
36,Anthony Edwards,SG,22,MIN,79,2770,19.7,.575,.341,.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,,2.9,4.7,7.5,.130,,2.7,0.5,3.3,3.7,edwaran01
37,Pascal Siakam,PF,29,TOT,80,2657,19.7,.601,.194,.312,5.8,18.1,11.9,19.4,1.1,0.8,8.9,25.3,,5.4,1.5,6.9,.124,,2.6,-0.7,1.9,2.7,siakapa01
38,Damian Lillard,PG,33,MIL,73,2579,19.6,.590,.487,.403,1.6,11.8,6.8,28.8,1.3,0.6,11.4,28.4,,5.8,1.9,7.7,.143,,3.4,-1.3,2.1,2.7,lillada01
39,Scottie Barnes,SG,22,TOR,60,2094,19.5,.566,.314,.266,7.3,18.9,13.0,26.2,1.7,3.7,13.6,24.8,,2.3,2.0,4.3,.098,,2.9,0.8,3.7,3.0,barnesc01
40,Paul George,PF,33,LAC,74,2502,19.3,.613,.476,.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,,4.4,2.8,7.3,.140,,2.9,0.2,3.2,3.3,georgpa01
41,Rudy Gobert,C,31,MIN,76,2593,19.3,.675,.005,.635,13.1,29.2,21.5,5.6,1.0,5.5,13.1,15.4,,5.8,5.8,11.6,.216,,0.1,1.7,1.8,2.5,goberru01
42,Myles Turner,C,27,IND,77,2076,19.3,.626,.356,.349,6.2,22.9,14.5,6.4,0.9,5.5,9.4,23.4,,3.6,2.2,5.8,.134,,1.0,-0.1,0.9,1.5,turnemy01
43,Ivica Zubac,C,26,LAC,68,1794,19.3,.671,.000,.320,12.8,26.2,19.7,7.5,0.6,4.2,11.8,16.4,,4.5,2.3,6.8,.182,,0.8,0.0,0.8,1.3,zubaciv01
44,Jalen Williams,PF,22,OKC,71,2223,19.1,.621,.243,.223,1.9,11.8,7.1,21.3,1.7,1.9,10.1,23.7,,4.5,2.7,7.3,.157,,2.0,0.3,2.3,2.4,willija06
45,Deandre Ayton,C,25,POR,55,1784,18.9,.587,.013,.105,10.4,28.9,19.1,8.8,1.5,2.1,11.2,21.1,,1.8,2.1,3.9,.106,,0.5,-0.2,0.3,1.0,aytonde01
46,Isaiah Hartenstein,C,25,NYK,75,1896,18.9,.670,.008,.430,14.4,22.7,18.5,13.5,2.3,4.2,17.6,12.0,,4.6,3.5,8.1,.204,,0.7,2.8,3.5,2.6,harteis01
47,Julius Randle,PF,29,NYK,46,1630,18.9,.569,.292,.361,6.8,22.4,14.6,22.8,0.8,0.7,14.1,29.9,,1.9,1.9,3.8,.113,,2.2,-0.3,1.9,1.6,randlju01
48,Karl-Anthony Towns,PF,28,MIN,62,2026,18.8,.625,.344,.307,5.5,22.6,14.4,15.1,1.0,1.8,14.1,27.4,,2.6,3.6,6.3,.148,,1.6,0.9,2.5,2.3,townska01
49,Nic Claxton,C,24,BRK,71,2116,18.7,.629,.009,.337,9.7,27.3,18.2,10.4,1.1,6.2,12.2,15.6,,3.5,3.2,6.7,.152,,-0.3,1.5,1.2,1.7,claxtni01
50,Jalen Duren,C,20,DET,61,1777,18.7,.653,.007,.321,11.8,33.0,22.2,12.7,0.9,2.3,16.7,18.5,,3.0,1.8,4.8,.130,,-0.2,0.1,-0.1,0.9,durenja01
51,Jaylen Brown,SF,27,BOS,70,2343,18.6,.580,.326,.239,4.0,13.4,8.9,16.6,1.8,1.4,10.7,28.9,,2.7,3.2,5.9,.121,,0.9,-0.1,0.7,1.6,brownja02
52,James Harden,PG,34,LAC,72,2470,18.6,.612,.594,.418,1.6,14.8,8.4,33.6,1.5,2.1,16.0,20.6,,5.9,2.5,8.4,.163,,3.8,0.3,4.1,3.8,hardeja01
53,Brandon Ingram,SF,26,NOP,64,2103,18.2,.578,.238,.302,2.3,14.7,8.6,26.7,1.2,1.9,12.4,27.2,,2.7,2.4,5.1,.117,,1.4,-0.3,1.2,1.7,ingrabr01
54,CJ McCollum,PG,32,NOP,66,2159,17.9,.592,.528,.132,2.0,12.6,7.4,21.4,1.4,1.9,9.0,24.7,,3.5,2.4,5.9,.132,,3.3,-0.3,3.1,2.8,mccolcj01
55,Dejounte Murray,SG,27,ATL,78,2783,17.7,.555,.379,.179,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,,3.3,1.6,4.9,.084,,2.3,-0.6,1.7,2.6,murrade01
56,Nikola Vučević,C,33,CHI,76,2610,17.7,.540,.258,.107,8.8,25.8,17.1,15.2,1.0,2.4,8.6,23.3,,2.7,2.8,5.4,.100,,0.8,-0.7,0.1,1.4,vucevni01
57,Franz Wagner,SF,22,ORL,72,2337,17.6,.575,.305,.291,3.6,15.7,9.6,18.8,1.6,1.1,10.0,25.7,,3.1,3.2,6.4,.131,,0.9,0.3,1.2,1.9,wagnefr01
58,John Collins,PF,26,UTA,68,1901,17.5,.621,.311,.248,9.2,24.0,16.7,6.1,1.0,2.9,10.6,20.4,,3.1,1.3,4.4,.110,,0.5,-1.4,-0.9,0.5,collijo01
59,Bobby Portis,PF,28,MIL,82,2008,17.5,.581,.268,.135,7.9,24.8,16.6,7.8,1.6,1.4,8.6,22.9,,2.1,2.6,4.7,.112,,0.0,-0.8,-0.8,0.6,portibo01
