Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
124,Dennis Schröder,PG,30,TOT,80,2486,13.3,.550,.397,.230,1.7,9.2,5.3,28.0,1.2,0.6,13.0,20.3,,2.3,1.0,3.3,.063,,-0.5,-1.3,-1.8,0.1,schrode01
125,Herbert Jones,SF,25,NOP,76,2321,13.2,.636,.464,.269,3.6,9.4,6.5,11.3,2.2,2.6,12.4,14.1,,3.3,3.0,6.3,.131,,-0.9,1.5,0.6,1.6,joneshe01
126,Santi Aldama,PF,23,MEM,61,1618,13.1,.539,.535,.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,,0.4,2.0,2.4,.070,,-0.7,0.4,-0.2,0.7,aldamsa01
127,Saddiq Bey,SF,24,ATL,63,2062,13.1,.549,.514,.291,8.5,13.4,10.9,6.0,1.2,0.5,6.4,17.0,,2.8,0.7,3.5,.081,,0.1,-2.0,-1.8,0.1,beysa01
128,Sam Hauser,SF,26,BOS,79,1741,13.0,.629,.833,.034,2.9,13.7,8.6,6.2,1.1,1.3,5.3,15.0,,2.7,2.1,4.9,.134,,1.2,0.0,1.2,1.4,hausesa01
129,Bennedict Mathurin,SF,21,IND,59,1538,13.0,.562,.323,.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,,0.8,0.7,1.4,.045,,-1.2,-2.3,-3.4,-0.6,mathube01
130,Brandon Miller,SF,21,CHO,74,2383,13.0,.552,.455,.160,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,,-0.3,1.0,0.8,.015,,-0.9,-1.6,-2.6,-0.3,millebr02
131,Brandin Podziemski,SG,20,GSW,74,1968,13.0,.540,.392,.132,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,,2.1,2.0,4.1,.100,,-0.5,0.4,-0.1,0.9,podzibr01
132,Jabari Walker,SF,21,POR,72,1700,13.0,.546,.273,.336,9.4,25.0,16.7,6.2,1.2,1.2,10.2,16.3,,1.4,1.6,2.9,.083,,-2.4,-0.9,-3.3,-0.6,walkeja01
133,Jaime Jaquez Jr.,SF,22,MIA,75,2113,12.9,.574,.290,.251,4.4,11.0,7.6,13.9,1.8,0.9,12.4,18.7,,1.4,2.7,4.0,.092,,-2.2,0.3,-1.9,0.1,jaqueja01
134,OG Anunoby,SF,26,TOT,50,1702,12.8,.595,.463,.154,3.0,10.6,6.8,9.0,2.0,1.9,11.6,17.6,,1.1,1.5,2.6,.073,,-1.0,0.5,-0.6,0.6,anunoog01
135,Corey Kispert,SF,24,WAS,80,2067,12.8,.620,.605,.198,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,,1.7,0.4,2.1,.048,,-0.2,-2.0,-2.1,-0.1,kispeco01
136,Aaron Nesmith,SF,24,IND,72,1995,12.8,.631,.526,.216,3.6,12.0,7.8,6.6,1.5,2.0,8.4,16.0,,2.8,1.3,4.1,.098,,-0.3,-0.2,-0.5,0.8,nesmiaa01
137,Ausar Thompson,SF,21,DET,63,1583,12.8,.522,.235,.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,,0.1,1.7,1.8,.053,,-2.8,0.6,-2.2,-0.1,thompau01
138,Kyle Anderson,PF,30,MIN,79,1782,12.7,.513,.111,.316,4.0,13.0,8.7,25.0,2.0,2.3,15.6,14.5,,1.4,3.1,4.5,.121,,-1.6,2.7,1.1,1.4,anderky01
139,Jordan Clarkson,SG,31,UTA,55,1682,12.7,.521,.379,.246,3.2,9.0,6.2,24.6,1.0,0.3,13.9,26.1,,0.1,0.1,0.2,.006,,-1.3,-3.2,-4.5,-1.1,clarkjo01
140,De'Andre Hunter,SF,26,ATL,57,1681,12.7,.595,.459,.296,1.9,12.9,7.2,7.3,1.1,0.9,10.0,20.6,,1.6,0.6,2.2,.062,,-0.9,-1.5,-2.4,-0.2,huntede01
141,Andrew Wiggins,SF,28,GSW,71,1920,12.7,.544,.326,.242,6.2,11.8,9.0,8.6,1.1,1.9,9.2,20.9,,1.2,1.6,2.8,.070,,-1.4,-1.2,-2.5,-0.3,wiggian01
142,Kevin Huerter,SG,25,SAC,64,1562,12.4,.564,.609,.084,2.7,13.6,8.0,14.4,1.4,1.3,8.4,17.3,,1.5,1.4,2.9,.089,,-0.5,-0.4,-0.8,0.5,huertke01
143,Jaden Ivey,SG,21,DET,77,2217,12.4,.536,.379,.311,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,,-0.5,1.0,0.5,.010,,-1.4,-1.7,-3.1,-0.6,iveyja01
144,Duncan Robinson,SF,29,MIA,68,1905,12.2,.612,.701,.133,0.9,9.5,5.1,15.1,1.2,0.8,11.7,19.0,,1.6,2.0,3.6,.091,,-0.5,-0.4,-0.9,0.6,robindu01
145,P.J. Washington,PF,25,TOT,73,2221,12.2,.537,.509,.179,4.2,16.5,10.3,9.3,1.6,2.4,9.9,19.1,,0.0,1.9,1.9,.040,,-1.7,-0.4,-2.1,-0.1,washipj01
146,Christian Braun,SG,22,DEN,82,1655,12.1,.554,.340,.277,5.4,14.8,10.2,10.2,1.3,1.8,9.2,15.7,,1.5,2.0,3.4,.100,,-1.7,-0.2,-1.9,0.0,braunch01
147,Simone Fontecchio,SF,28,TOT,66,1644,12.1,.600,.609,.120,4.3,12.2,8.3,8.7,1.3,1.2,10.5,16.5,,1.5,0.6,2.1,.061,,0.0,-1.0,-1.0,0.4,fontesi01
148,Tim Hardaway Jr.,SF,31,DAL,79,2120,12.1,.542,.612,.173,1.1,11.9,6.5,9.2,1.0,0.2,6.2,22.6,,0.8,1.4,2.2,.050,,-0.8,-2.1,-2.9,-0.5,hardati02
149,Jordan Poole,SG,24,WAS,78,2346,12.1,.529,.476,.185,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,,-1.5,0.8,-0.6,-0.013,,-2.0,-1.9,-3.9,-1.2,poolejo01
150,Terance Mann,SG,27,LAC,75,1873,12.0,.615,.414,.193,5.4,9.7,7.7,8.5,1.1,0.7,8.2,13.6,,3.0,1.2,4.2,.106,,-0.8,-0.7,-1.5,0.2,mannte01
151,Gary Trent Jr.,SG,25,TOR,71,1994,12.0,.548,.535,.113,1.4,9.2,5.2,8.6,1.9,0.4,5.0,20.0,,0.8,0.9,1.7,.040,,-1.2,-1.4,-2.6,-0.3,trentga02
152,Cason Wallace,SG,20,OKC,82,1692,12.0,.612,.529,.084,3.6,8.6,6.2,8.9,2.2,2.0,8.9,12.9,,1.9,2.1,4.0,.115,,-0.9,1.0,0.1,0.9,wallaca01
153,Harrison Barnes,PF,31,SAC,82,2381,11.9,.611,.526,.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,,3.1,1.5,4.7,.094,,-0.6,-1.2,-1.8,0.1,barneha02
154,Josh Hart,SF,28,NYK,81,2707,11.8,.522,.380,.169,5.3,22.8,14.0,16.3,1.4,0.8,13.9,13.5,,2.0,3.6,5.7,.100,,-1.3,1.4,0.0,1.4,hartjo01
155,Spencer Dinwiddie,PG,30,TOT,76,2152,11.7,.543,.575,.328,1.5,9.0,5.2,22.7,1.2,0.9,11.1,16.6,,2.3,1.3,3.6,.081,,-1.3,-0.6,-1.9,0.1,dinwisp01
156,Reggie Jackson,PG,33,DEN,82,1817,11.7,.521,.376,.130,2.1,7.2,4.7,23.0,1.2,0.6,11.7,21.7,,0.6,1.5,2.1,.056,,-1.8,-1.5,-3.2,-0.6,jacksre01
157,Derrick Jones Jr.,SF,26,DAL,76,1783,11.7,.592,.483,.275,5.0,10.3,7.7,5.5,1.4,2.5,10.5,14.9,,1.5,1.6,3.1,.083,,-1.3,-0.3,-1.5,0.2,jonesde02
158,Max Strus,SF,27,CLE,70,2239,11.7,.553,.658,.133,3.4,13.5,8.5,17.3,1.4,1.2,12.7,17.4,,1.2,2.6,3.9,.083,,-1.1,0.5,-0.6,0.8,strusma01
159,Bruce Brown,PG-SG,27,TOT,67,1866,11.6,.563,.282,.244,3.1,14.0,8.5,13.2,1.5,0.8,11.8,16.5,,1.2,1.0,2.2,.058,,-2.4,-1.0,-3.3,-0.6,brownbr01
160,Isaac Okoro,SF,23,CLE,69,1887,11.4,.599,.448,.285,4.0,8.2,6.1,9.5,1.5,1.6,9.1,13.9,,2.1,2.0,4.2,.106,,-1.8,0.7,-1.1,0.4,okorois01
161,Jeremy Sochan,PF,20,SAS,74,2193,11.4,.513,.293,.186,6.7,16.9,11.7,16.0,1.3,1.5,14.3,18.8,,-0.5,1.9,1.4,.030,,-2.8,-0.6,-3.4,-0.8,sochaje01
162,Andrew Nembhard,PG,24,IND,68,1697,11.3,.573,.328,.107,2.4,7.0,4.7,20.0,1.8,0.3,15.6,16.0,,1.3,0.7,2.0,.057,,-1.6,-0.5,-2.2,-0.1,nembhan01
163,Luguentz Dort,SF,24,OKC,79,2246,11.1,.593,.603,.236,3.8,10.0,7.0,6.3,1.5,1.9,9.3,15.4,,2.0,2.5,4.6,.097,,-1.4,-0.2,-1.6,0.2,dortlu01
164,Royce O'Neale,SF,30,TOT,79,1954,11.1,.548,.783,.065,3.4,17.9,10.7,15.0,1.5,2.0,11.6,13.9,,1.3,2.1,3.4,.085,,-1.0,1.0,0.0,1.0,onealro01
165,Nickeil Alexander-Walker,SG,25,MIN,82,1921,10.9,.578,.623,.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,,1.5,2.8,4.3,.107,,-1.1,1.3,0.2,1.1,alexani01
166,Kyle Lowry,PG,37,TOT,60,1690,10.9,.594,.663,.199,2.2,10.8,6.4,20.1,1.7,1.2,17.2,12.9,,1.6,1.9,3.5,.100,,-1.9,0.9,-1.0,0.4,lowryky01
167,Eric Gordon,SG,35,PHO,68,1893,10.8,.580,.642,.104,1.0,6.0,3.6,10.0,1.7,1.4,10.2,16.5,,1.0,1.5,2.5,.063,,-1.3,-0.5,-1.7,0.1,gordoer01
168,Caleb Martin,SF,28,MIA,64,1756,10.8,.531,.415,.177,4.7,13.5,9.1,11.8,1.3,1.6,11.3,17.3,,0.2,2.2,2.4,.066,,-2.2,0.2,-2.0,0.0,martica02
169,Kentavious Caldwell-Pope,SG,30,DEN,76,2402,10.7,.602,.525,.193,1.5,6.8,4.2,9.5,2.0,1.5,10.5,12.9,,2.2,2.6,4.8,.096,,-2.1,0.7,-1.4,0.4,caldwke01
170,Toumani Camara,PF,23,POR,70,1739,10.6,.547,.393,.226,8.4,14.0,11.0,7.2,1.9,1.7,14.9,13.8,,0.6,1.4,2.0,.055,,-3.1,0.0,-3.1,-0.5,camarto01
171,Grant Williams,PF,25,TOT,76,2130,10.6,.588,.555,.231,4.4,12.2,8.3,11.3,1.0,1.6,14.1,15.9,,1.3,1.3,2.6,.059,,-1.9,-0.7,-2.6,-0.3,willigr01
172,Keyonte George,PG,20,UTA,75,2023,10.4,.533,.540,.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,,-0.4,0.1,-0.3,-0.008,,-1.5,-2.9,-4.4,-1.2,georgke01
173,Malik Beasley,SG,27,MIL,79,2337,10.3,.603,.751,.048,2.0,11.4,6.8,6.1,1.2,0.3,6.8,14.6,,1.9,1.6,3.5,.073,,-1.0,-0.8,-1.8,0.1,beaslma01
174,Nicolas Batum,PF,35,TOT,60,1529,10.2,.603,.723,.082,5.0,13.1,9.0,10.7,1.5,2.3,13.1,8.6,,1.7,1.6,3.3,.103,,-1.3,0.8,-0.4,0.6,batumni01
175,Dorian Finney-Smith,PF,30,BRK,68,1934,10.1,.546,.658,.090,6.0,12.1,9.0,7.6,1.4,1.8,10.0,13.2,,1.0,1.6,2.6,.065,,-2.0,-0.1,-2.0,0.0,finnedo01
176,Josh Green,SG,23,DAL,57,1505,9.9,.588,.500,.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,,1.0,1.2,2.2,.071,,-2.4,-0.3,-2.7,-0.3,greenjo02
177,Georges Niang,PF,30,CLE,82,1831,9.9,.583,.627,.095,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,,0.5,2.0,2.4,.064,,-2.5,-0.4,-2.9,-0.4,niangge01
178,Pat Connaughton,SF,31,MIL,76,1676,9.6,.574,.686,.167,3.4,12.0,7.8,12.0,1.1,1.0,11.6,10.9,,1.6,1.2,2.8,.080,,-1.6,0.0,-1.6,0.2,connapa01
179,Scoot Henderson,PG,19,POR,62,1765,9.5,.489,.336,.256,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,,-2.5,0.9,-1.7,-0.045,,-3.5,-2.3,-5.8,-1.7,hendesc01
180,Dillon Brooks,SF,28,HOU,72,2227,9.4,.549,.482,.191,2.5,9.4,5.9,7.5,1.4,0.4,9.6,17.6,,0.6,2.1,2.7,.058,,-3.3,-0.3,-3.6,-0.9,brookdi01
181,Jaden McDaniels,SF,23,MIN,72,2105,9.4,.571,.406,.126,3.2,8.7,6.0,6.8,1.5,1.8,11.6,15.7,,0.3,3.1,3.4,.077,,-3.3,0.7,-2.6,-0.3,mcdanja02
182,Bilal Coulibaly,SF,19,WAS,63,1715,8.9,.543,.428,.303,3.4,12.8,8.0,8.2,1.6,2.3,15.1,14.2,,-0.5,0.9,0.4,.013,,-3.6,-0.5,-4.2,-0.9,coulibi01
183,Taurean Prince,PF,29,LAL,78,2108,8.8,.579,.622,.119,1.2,10.5,6.1,7.2,1.3,1.4,10.8,13.8,,0.3,1.7,1.9,.043,,-2.6,-0.2,-2.8,-0.4,princta02
184,Malaki Branham,PG,20,SAS,75,1594,8.7,.526,.427,.100,1.9,8.2,5.0,14.0,0.8,0.4,12.2,19.8,,-0.9,0.6,-0.3,-0.008,,-3.4,-2.2,-5.6,-1.5,branhma01
185,Ochai Agbaji,SG,23,TOT,78,1641,7.7,.497,.487,.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,,-0.5,0.6,0.1,.002,,-3.5,-0.9,-4.4,-1.0,agbajoc01
