PLAYER_ID,PLAYER_NAME,Pos,Age,GP,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,WS/48,BPM,VORP,PER,SALARY
1626192,Pat Connaughton,SF,0.6,0.904,0.58,0.582,0.345,0.759,0.152,0.248,0.193,0.136,0.238,0.083,0.161,0.593,0.532,0.377,0.154,0.391,9423869
1630311,Pat Spencer,PG,0.4,0.06,0.104,0.669,0.0,0.0,0.065,0.03,0.073,0.045,0.0,0.0,0.02,0.556,0.535,0.311,0.138,0.389,
1631116,Patrick Baldwin Jr.,SF,0.1,0.446,0.337,0.51,0.32,0.679,0.087,0.277,0.073,0.114,0.238,0.111,0.127,0.574,0.483,0.336,0.114,0.393,2337720
201976,Patrick Beverley,PG,0.8,0.867,0.524,0.558,0.337,0.822,0.152,0.257,0.266,0.205,0.286,0.111,0.179,0.565,0.54,0.384,0.163,0.418,2019706
1630172,Patrick Williams,PF,0.15,0.506,0.719,0.593,0.399,0.788,0.239,0.277,0.138,0.295,0.429,0.222,0.288,0.588,0.506,0.368,0.13,0.41,9835881
201988,Patty Mills,PG,0.8,0.373,0.337,0.47,0.276,1.0,0.065,0.079,0.101,0.114,0.286,0.0,0.115,0.611,0.475,0.336,0.114,0.359,7267250
202331,Paul George,PF,0.7,0.88,0.893,0.631,0.413,0.907,0.109,0.465,0.321,0.477,0.714,0.139,0.651,0.889,0.58,0.444,0.407,0.52,45640084
1630194,Paul Reed,C,0.25,0.976,0.508,0.723,0.368,0.718,0.522,0.356,0.119,0.182,0.381,0.278,0.21,0.657,0.591,0.405,0.211,0.495,7723000
1630202,Payton Pritchard,PG,0.35,0.976,0.586,0.627,0.385,0.821,0.196,0.238,0.312,0.159,0.238,0.028,0.277,0.856,0.596,0.413,0.252,0.467,4037277
1631250,Pete Nance,PF,0.2,0.084,0.08,0.224,1.0,0.0,0.0,0.04,0.0,0.023,0.048,0.0,0.012,0.468,0.345,0.189,0.13,0.212,64343
1631212,Peyton Watson,SF,0.1,0.952,0.487,0.622,0.296,0.67,0.152,0.248,0.101,0.159,0.238,0.306,0.193,0.56,0.531,0.369,0.13,0.42,2303520
1630173,Precious Achiuwa,PF,0.25,0.88,0.575,0.671,0.268,0.616,0.565,0.396,0.119,0.25,0.286,0.25,0.219,0.574,0.55,0.38,0.154,0.458,4379527
1629656,Quentin Grimes,SG,0.2,0.602,0.527,0.498,0.338,0.756,0.065,0.168,0.119,0.114,0.333,0.028,0.202,0.565,0.516,0.369,0.13,0.382,2385720
1631245,Quenton Jackson,PG,0.3,0.024,0.083,0.0,0.0,1.0,0.0,0.129,0.064,0.0,0.143,0.0,0.02,0.602,0.63,0.445,0.138,0.477,
1630181,R.J. Hampton,PG,0.15,0.084,0.243,0.383,0.125,0.5,0.065,0.05,0.092,0.091,0.0,0.0,0.037,0.722,0.438,0.268,0.13,0.276,
1629628,RJ Barrett,SG,0.2,0.687,0.837,0.663,0.36,0.715,0.196,0.446,0.303,0.5,0.238,0.111,0.582,0.481,0.528,0.388,0.187,0.481,23883929
1630564,RaiQuan Gray,PF,0.25,0.024,0.337,0.787,0.429,0.0,0.152,0.168,0.183,0.068,0.143,0.083,0.222,0.819,0.618,0.502,0.146,0.565,
1641712,Rayan Rupert,SG,0.0,0.458,0.422,0.448,0.359,0.76,0.13,0.168,0.147,0.182,0.143,0.028,0.115,0.454,0.461,0.307,0.073,0.341,1119563
202704,Reggie Jackson,PG,0.7,0.976,0.583,0.577,0.359,0.806,0.087,0.149,0.349,0.295,0.238,0.028,0.294,0.648,0.513,0.355,0.089,0.419,5000000
1626158,Richaun Holmes,C,0.55,0.47,0.361,0.747,0.333,0.723,0.391,0.277,0.055,0.136,0.143,0.139,0.144,0.495,0.559,0.354,0.122,0.456,12046020
1641741,Ricky Council IV,SG,0.15,0.373,0.23,0.645,0.375,0.746,0.087,0.099,0.046,0.045,0.143,0.0,0.156,0.62,0.606,0.417,0.154,0.511,864353
203496,Robert Covington,SF,0.7,0.337,0.439,0.588,0.339,0.846,0.239,0.228,0.073,0.091,0.619,0.167,0.127,0.769,0.584,0.43,0.179,0.444,11692308
201577,Robin Lopez,C,0.8,0.181,0.096,0.493,0.25,1.0,0.043,0.01,0.028,0.023,0.048,0.056,0.032,0.537,0.474,0.315,0.13,0.351,2019706
1631199,Ron Harper Jr.,PF,0.2,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.185,0.538,0.277,0.138,0.264,
1626220,Royce O'Neale,SF,0.55,0.94,0.65,0.531,0.37,0.686,0.174,0.396,0.257,0.205,0.333,0.167,0.222,0.671,0.536,0.399,0.22,0.411,9500000
203497,Rudy Gobert,C,0.6,0.904,0.901,0.885,0.0,0.638,0.826,0.911,0.119,0.364,0.333,0.583,0.403,0.852,0.641,0.424,0.341,0.52,41000000
1629060,Rui Hachimura,PF,0.3,0.807,0.706,0.719,0.422,0.739,0.196,0.347,0.11,0.159,0.286,0.111,0.392,0.685,0.554,0.387,0.179,0.463,15740741
201566,Russell Westbrook,PG,0.8,0.807,0.591,0.608,0.273,0.688,0.304,0.366,0.413,0.477,0.524,0.083,0.32,0.671,0.521,0.406,0.22,0.479,3835738
1627853,Ryan Arcidiacono,PG,0.5,0.229,0.051,0.0,0.0,0.0,0.0,0.04,0.018,0.023,0.048,0.0,0.0,0.606,0.397,0.266,0.13,0.237,2019706
