PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SALARY
1630558,Davion Mitchell,0.855,0.398,0.174,0.191,0.605,0.167,0.186,0.361,0.039,0.052,0.065,0.109,0.095,0.174,0.136,0.095,0.0,0.153,0.574,5063640
202722,Davis Bertans,0.506,0.409,0.183,0.229,0.526,0.375,0.398,0.38,0.069,0.069,0.043,0.119,0.102,0.073,0.091,0.286,0.083,0.193,0.523,
1630549,Day'Ron Sharpe,0.723,0.393,0.243,0.203,0.764,0.021,0.017,0.267,0.118,0.172,0.565,0.366,0.467,0.128,0.25,0.19,0.194,0.196,0.648,2210040
1628368,De'Aaron Fox,0.88,0.949,0.843,0.886,0.622,0.604,0.661,0.369,0.412,0.491,0.196,0.366,0.336,0.514,0.591,0.952,0.111,0.767,0.745,32600060
1629631,De'Andre Hunter,0.675,0.778,0.461,0.492,0.614,0.438,0.449,0.385,0.284,0.293,0.109,0.337,0.285,0.138,0.341,0.333,0.083,0.45,0.56,20089286
1629001,De'Anthony Melton,0.446,0.709,0.322,0.403,0.517,0.417,0.475,0.36,0.167,0.181,0.152,0.297,0.27,0.275,0.227,0.762,0.111,0.32,0.866,8000000
201599,DeAndre Jordan,0.422,0.283,0.139,0.11,0.835,0.0,0.0,0.0,0.069,0.129,0.326,0.287,0.321,0.064,0.136,0.095,0.111,0.112,0.491,2019706
1630610,DeJon Jarreau,0.096,0.433,0.165,0.237,0.455,0.083,0.119,0.308,0.059,0.103,0.196,0.396,0.358,0.266,0.227,0.333,0.056,0.138,0.477,
201942,DeMar DeRozan,0.94,1.0,0.713,0.729,0.643,0.188,0.237,0.333,0.647,0.664,0.109,0.376,0.314,0.486,0.386,0.524,0.167,0.692,0.565,28600000
1629731,Dean Wade,0.639,0.537,0.157,0.182,0.554,0.312,0.314,0.391,0.039,0.043,0.152,0.337,0.292,0.073,0.091,0.333,0.139,0.156,0.755,5709877
1629028,Deandre Ayton,0.651,0.856,0.678,0.576,0.763,0.0,0.017,0.1,0.118,0.121,0.696,0.782,0.81,0.147,0.409,0.476,0.222,0.481,0.333,32459438
1627749,Dejounte Murray,0.928,0.944,0.748,0.797,0.614,0.542,0.602,0.363,0.265,0.293,0.174,0.446,0.387,0.587,0.591,0.667,0.083,0.648,0.509,18214000
1626153,Delon Wright,0.554,0.412,0.139,0.169,0.527,0.104,0.119,0.368,0.078,0.086,0.087,0.139,0.131,0.229,0.068,0.524,0.056,0.13,0.616,8856750
1630166,Deni Avdija,0.892,0.794,0.47,0.453,0.677,0.25,0.263,0.374,0.265,0.31,0.239,0.604,0.526,0.349,0.477,0.381,0.139,0.424,0.398,6263188
203471,Dennis Schroder,0.952,0.821,0.435,0.492,0.582,0.354,0.39,0.375,0.216,0.233,0.109,0.248,0.219,0.56,0.432,0.381,0.056,0.403,0.528,12405000
1628372,Dennis Smith Jr.,0.663,0.495,0.226,0.254,0.582,0.125,0.161,0.294,0.078,0.086,0.196,0.198,0.212,0.33,0.273,0.571,0.056,0.19,0.574,2019706
1641726,Dereck Lively II,0.651,0.618,0.348,0.229,1.0,0.0,0.0,0.0,0.069,0.129,0.543,0.436,0.504,0.101,0.205,0.333,0.389,0.254,0.722,4775640
1631220,Dereon Seabron,0.06,0.235,0.061,0.093,0.412,0.042,0.025,0.5,0.078,0.086,0.043,0.099,0.088,0.073,0.0,0.143,0.056,0.066,0.819,
1627884,Derrick Jones Jr.,0.904,0.618,0.27,0.275,0.647,0.229,0.263,0.343,0.127,0.155,0.239,0.218,0.241,0.092,0.205,0.333,0.194,0.248,0.634,5379706
201565,Derrick Rose,0.277,0.433,0.278,0.292,0.617,0.125,0.144,0.366,0.098,0.095,0.065,0.158,0.139,0.303,0.295,0.143,0.028,0.231,0.537,3196448
1628401,Derrick White,0.867,0.861,0.461,0.487,0.617,0.563,0.576,0.396,0.186,0.181,0.152,0.347,0.307,0.477,0.341,0.476,0.333,0.438,0.995,18357143
1630217,Desmond Bane,0.494,0.909,0.748,0.784,0.621,0.688,0.729,0.381,0.324,0.328,0.196,0.347,0.321,0.505,0.614,0.476,0.139,0.683,0.38,3845083
1626164,Devin Booker,0.807,0.952,0.817,0.814,0.659,0.458,0.517,0.364,0.588,0.578,0.174,0.366,0.328,0.633,0.591,0.429,0.111,0.781,0.815,36016200
1630170,Devin Vassell,0.807,0.874,0.635,0.657,0.632,0.5,0.559,0.372,0.235,0.259,0.087,0.337,0.277,0.376,0.364,0.524,0.083,0.562,0.403,5887899
1628984,Devonte' Graham,0.265,0.353,0.148,0.199,0.471,0.229,0.305,0.301,0.059,0.06,0.043,0.129,0.117,0.193,0.159,0.19,0.028,0.144,0.648,12100000
1641926,Dexter Dennis,0.036,0.19,0.217,0.203,0.704,0.062,0.169,0.125,0.029,0.069,0.065,0.198,0.168,0.092,0.182,0.0,0.083,0.159,0.495,
1628415,Dillon Brooks,0.855,0.816,0.4,0.453,0.573,0.375,0.432,0.359,0.167,0.172,0.152,0.267,0.248,0.156,0.273,0.429,0.028,0.366,0.588,22627671
1631376,Dmytro Skapintsev,0.012,0.019,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,
1627734,Domantas Sabonis,0.976,0.944,0.67,0.551,0.795,0.083,0.093,0.379,0.353,0.44,0.783,1.0,1.0,0.752,0.75,0.429,0.167,0.559,0.639,30600000
1631230,Dominick Barlow,0.386,0.329,0.148,0.144,0.664,0.021,0.025,0.333,0.088,0.112,0.304,0.208,0.248,0.101,0.068,0.19,0.111,0.127,0.556,455620
1628378,Donovan Mitchell,0.651,0.933,0.791,0.839,0.618,0.688,0.763,0.368,0.49,0.5,0.174,0.426,0.372,0.56,0.636,0.857,0.139,0.767,0.875,33162030
1628978,Donte DiVincenzo,0.964,0.767,0.478,0.525,0.593,0.729,0.737,0.401,0.108,0.121,0.174,0.287,0.27,0.248,0.318,0.619,0.111,0.447,0.694,10900000
1627827,Dorian Finney-Smith,0.807,0.749,0.278,0.318,0.564,0.354,0.415,0.348,0.049,0.06,0.348,0.307,0.343,0.147,0.205,0.381,0.167,0.245,0.528,13932008
203926,Doug McDermott,0.759,0.366,0.165,0.186,0.58,0.312,0.305,0.41,0.02,0.026,0.043,0.079,0.066,0.101,0.091,0.143,0.0,0.159,0.5,13750000
203110,Draymond Green,0.651,0.714,0.296,0.288,0.665,0.188,0.195,0.395,0.098,0.112,0.304,0.584,0.526,0.55,0.568,0.476,0.25,0.248,0.745,22321429
1629234,Drew Eubanks,0.892,0.406,0.174,0.144,0.805,0.0,0.0,1.0,0.098,0.103,0.304,0.287,0.314,0.073,0.182,0.19,0.222,0.147,0.537,2346614
1641809,Drew Peterson,0.024,0.193,0.113,0.085,0.893,0.208,0.144,0.6,0.0,0.0,0.0,0.03,0.022,0.028,0.068,0.333,0.0,0.107,0.727,
1630696,Dru Smith,0.096,0.377,0.148,0.157,0.609,0.167,0.161,0.412,0.02,0.017,0.152,0.089,0.117,0.147,0.136,0.476,0.083,0.124,0.38,1801769
1629130,Duncan Robinson,0.807,0.738,0.391,0.419,0.602,0.583,0.593,0.395,0.118,0.112,0.043,0.228,0.182,0.257,0.318,0.333,0.056,0.372,0.63,18154000
1641871,Duop Reath,0.807,0.468,0.296,0.309,0.617,0.271,0.305,0.359,0.098,0.121,0.304,0.228,0.27,0.092,0.182,0.238,0.167,0.262,0.472,1951220
203939,Dwight Powell,0.747,0.345,0.096,0.072,0.909,0.0,0.0,0.333,0.098,0.121,0.326,0.188,0.248,0.119,0.114,0.19,0.083,0.095,0.602,4000000
1629685,Dylan Windler,0.193,0.16,0.078,0.076,0.669,0.167,0.136,0.481,0.0,0.0,0.043,0.079,0.066,0.055,0.023,0.048,0.0,0.072,0.56,2019706
1630700,Dyson Daniels,0.723,0.586,0.2,0.216,0.598,0.146,0.186,0.311,0.059,0.078,0.217,0.287,0.285,0.248,0.227,0.667,0.111,0.167,0.657,5784120
1630604,E.J. Liddell,0.084,0.067,0.009,0.034,0.224,0.0,0.051,0.0,0.029,0.026,0.0,0.059,0.044,0.009,0.068,0.143,0.083,0.014,0.579,1801769
1641734,Emoni Bates,0.169,0.227,0.087,0.14,0.41,0.146,0.186,0.303,0.01,0.026,0.022,0.089,0.066,0.064,0.114,0.048,0.028,0.078,0.343,
201569,Eric Gordon,0.807,0.733,0.348,0.386,0.593,0.458,0.492,0.378,0.078,0.078,0.043,0.158,0.131,0.183,0.25,0.476,0.111,0.317,0.69,3196448
1630647,Eugene Omoruyi,0.506,0.233,0.165,0.165,0.649,0.062,0.093,0.283,0.069,0.095,0.174,0.119,0.146,0.073,0.114,0.286,0.028,0.138,0.454,900000
203095,Evan Fournier,0.373,0.473,0.217,0.292,0.478,0.208,0.347,0.254,0.088,0.095,0.043,0.168,0.131,0.138,0.159,0.429,0.056,0.199,0.398,18857143
1630596,Evan Mobley,0.59,0.807,0.557,0.47,0.775,0.083,0.102,0.373,0.245,0.293,0.478,0.703,0.686,0.294,0.409,0.429,0.389,0.452,0.634,8882640
1630196,Filip Petrusev,0.024,0.072,0.026,0.03,0.669,0.0,0.0,0.0,0.029,0.06,0.0,0.03,0.022,0.0,0.0,0.0,0.0,0.029,0.694,559782
1628373,Frank Ntilikina,0.048,0.219,0.017,0.076,0.149,0.042,0.136,0.125,0.039,0.034,0.043,0.099,0.088,0.073,0.045,0.0,0.0,0.029,0.593,2019706
1630532,Franz Wagner,0.855,0.858,0.635,0.644,0.645,0.271,0.39,0.281,0.373,0.379,0.217,0.426,0.387,0.339,0.432,0.524,0.111,0.568,0.731,5508720
1627832,Fred VanVleet,0.867,0.973,0.504,0.589,0.557,0.646,0.678,0.387,0.265,0.267,0.109,0.337,0.277,0.743,0.386,0.667,0.222,0.501,0.718,40806300
1627788,Furkan Korkmaz,0.41,0.219,0.078,0.093,0.529,0.083,0.093,0.35,0.039,0.052,0.022,0.069,0.066,0.064,0.068,0.19,0.028,0.072,0.662,5370370
1641713,GG Jackson,0.566,0.676,0.435,0.496,0.573,0.438,0.508,0.357,0.235,0.276,0.239,0.297,0.299,0.11,0.318,0.286,0.139,0.421,0.417,
1629216,Gabe Vincent,0.12,0.519,0.122,0.191,0.41,0.062,0.212,0.107,0.01,0.017,0.087,0.05,0.058,0.174,0.114,0.381,0.0,0.089,0.731,10500000
202066,Garrett Temple,0.313,0.275,0.096,0.123,0.498,0.083,0.127,0.3,0.069,0.069,0.152,0.099,0.124,0.092,0.114,0.19,0.028,0.095,0.468,2019706
1629726,Garrison Mathews,0.783,0.39,0.139,0.144,0.61,0.271,0.246,0.44,0.049,0.052,0.065,0.109,0.102,0.055,0.068,0.143,0.028,0.141,0.532,2000000
203914,Gary Harris,0.639,0.631,0.209,0.233,0.59,0.292,0.322,0.371,0.059,0.069,0.087,0.119,0.124,0.147,0.136,0.429,0.083,0.199,0.681,13000000
1627780,Gary Payton II,0.518,0.404,0.2,0.178,0.754,0.104,0.11,0.364,0.029,0.043,0.217,0.149,0.19,0.101,0.136,0.429,0.111,0.159,0.69,8715000
1629018,Gary Trent Jr.,0.843,0.741,0.443,0.504,0.57,0.521,0.542,0.393,0.098,0.121,0.087,0.228,0.19,0.156,0.159,0.524,0.028,0.395,0.477,18560000
1627777,Georges Niang,0.976,0.586,0.304,0.326,0.601,0.375,0.407,0.376,0.059,0.06,0.065,0.307,0.248,0.11,0.205,0.19,0.056,0.271,0.62,8800000
203507,Giannis Antetokounmpo,0.867,0.93,1.0,0.797,0.818,0.104,0.144,0.274,0.686,0.922,0.587,0.871,0.839,0.596,0.773,0.571,0.306,0.876,0.815,45640084
1629048,Goga Bitadze,0.735,0.401,0.174,0.144,0.807,0.0,0.017,0.143,0.088,0.121,0.391,0.287,0.336,0.119,0.159,0.238,0.333,0.144,0.62,2066585
