PLAYER_ID,PLAYER_NAME,Pos,Age,GP,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,WS/48,BPM,VORP,PER,SALARY
203496,Robert Covington,SF,33,0.337,0.439,0.439,0.339,0.846,0.239,0.228,0.073,0.091,0.619,0.167,0.127,0.769,0.777,0.605,-0.001,0.62,11692308
201577,Robin Lopez,C,35,0.181,0.096,0.368,0.25,0.9,0.043,0.01,0.028,0.023,0.048,0.056,0.032,0.537,0.63,0.443,-0.529,0.491,2019706
1631199,Ron Harper Jr.,PF,23,0.0,0.088,0.2,0.2,0.5,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.185,0.715,0.391,-0.441,0.369,
1626220,Royce O'Neale,SF,30,0.94,0.65,0.397,0.37,0.686,0.174,0.396,0.257,0.205,0.333,0.167,0.222,0.671,0.713,0.562,0.439,0.574,9500000
203497,Rudy Gobert,C,31,0.904,0.901,0.661,0.2,0.638,0.826,0.911,0.119,0.364,0.333,0.583,0.403,0.852,0.852,0.598,1.759,0.726,41000000
1629060,Rui Hachimura,PF,25,0.807,0.706,0.537,0.422,0.739,0.196,0.347,0.11,0.159,0.286,0.111,0.392,0.685,0.737,0.545,-0.001,0.646,15740741
201566,Russell Westbrook,PG,35,0.807,0.591,0.454,0.273,0.688,0.304,0.366,0.413,0.477,0.524,0.083,0.32,0.671,0.693,0.572,0.439,0.669,3835738
1627853,Ryan Arcidiacono,PG,29,0.229,0.051,0.2,0.2,0.5,0.0,0.04,0.018,0.023,0.048,0.0,0.0,0.606,0.528,0.375,-0.529,0.331,2019706
1631157,Ryan Rollins,PG,21,0.145,0.15,0.519,0.55,0.765,0.043,0.079,0.101,0.136,0.381,0.056,0.098,0.824,0.787,0.674,-0.265,0.776,1719864
1630240,Saben Lee,PG,24,0.277,0.195,0.364,0.2,0.744,0.087,0.089,0.119,0.068,0.143,0.028,0.086,0.63,0.728,0.535,-0.441,0.619,
1630180,Saddiq Bey,SF,24,0.747,0.864,0.416,0.316,0.837,0.587,0.386,0.138,0.205,0.381,0.056,0.395,0.588,0.709,0.527,-0.353,0.611,4556983
1630573,Sam Hauser,SF,26,0.94,0.578,0.446,0.424,0.895,0.13,0.287,0.092,0.091,0.238,0.083,0.259,0.889,0.765,0.586,0.791,0.609,1927896
1630241,Sam Merrill,SG,27,0.723,0.457,0.402,0.404,0.9,0.087,0.158,0.165,0.068,0.143,0.028,0.231,0.625,0.755,0.572,0.175,0.611,1997238
1630572,Sandro Mamukelashvili,C,24,0.542,0.251,0.471,0.297,0.735,0.217,0.218,0.101,0.091,0.095,0.083,0.118,0.648,0.739,0.553,-0.265,0.661,2019706
1630583,Santi Aldama,PF,23,0.723,0.698,0.435,0.349,0.621,0.261,0.455,0.211,0.25,0.333,0.25,0.308,0.394,0.697,0.559,0.175,0.611,2194200
1628426,Sasha Vezenkov,PF,28,0.494,0.316,0.44,0.375,0.8,0.152,0.158,0.046,0.068,0.238,0.056,0.156,0.602,0.727,0.545,-0.353,0.615,6341464
1630703,Scoot Henderson,PG,19,0.735,0.751,0.385,0.325,0.819,0.196,0.228,0.495,0.773,0.381,0.056,0.403,0.231,0.574,0.449,-1.365,0.544,9770880
1630567,Scottie Barnes,SG,22,0.711,0.922,0.475,0.341,0.781,0.522,0.584,0.56,0.636,0.619,0.417,0.573,0.491,0.727,0.635,2.199,0.73,8008680
1630590,Scotty Pippen Jr.,PG,23,0.241,0.66,0.493,0.417,0.745,0.217,0.208,0.431,0.614,0.81,0.139,0.372,0.444,0.718,0.588,-0.089,0.672,
203552,Seth Curry,SG,33,0.518,0.364,0.392,0.352,0.9,0.087,0.109,0.092,0.114,0.238,0.028,0.147,0.667,0.665,0.498,-0.617,0.552,4000000
1641754,Seth Lundy,SF,23,0.096,0.144,0.235,0.231,0.75,0.022,0.069,0.0,0.023,0.0,0.0,0.046,0.537,0.524,0.314,-0.529,0.369,
1631101,Shaedon Sharpe,SG,20,0.373,0.874,0.406,0.333,0.824,0.283,0.366,0.266,0.523,0.429,0.111,0.458,0.245,0.646,0.508,-0.617,0.58,6313800
1628983,Shai Gilgeous-Alexander,PG,25,0.892,0.898,0.535,0.353,0.874,0.196,0.465,0.569,0.5,0.952,0.25,0.867,0.981,0.915,0.738,3.0,0.911,33386850
1629003,Shake Milton,SG,27,0.566,0.313,0.405,0.281,0.816,0.065,0.129,0.119,0.136,0.19,0.028,0.13,0.556,0.673,0.49,-0.705,0.539,5475908
1627885,Shaquille Harrison,SG,30,0.024,0.043,0.5,0.2,0.5,0.0,0.069,0.0,0.0,0.0,0.083,0.02,0.431,0.718,0.652,-0.441,0.663,
1631321,Sidy Cissoko,SF,19,0.133,0.302,0.485,0.2,0.8,0.152,0.119,0.073,0.068,0.286,0.083,0.11,0.699,0.739,0.51,-0.441,0.591,1119563
1631323,Simone Fontecchio,SF,28,0.783,0.655,0.46,0.401,0.818,0.217,0.277,0.138,0.227,0.333,0.083,0.303,0.583,0.687,0.543,-0.089,0.593,3044872
1630219,Skylar Mays,PG,26,0.446,0.294,0.396,0.296,0.765,0.065,0.089,0.202,0.114,0.286,0.028,0.118,0.477,0.669,0.523,-0.441,0.591,1799163
203915,Spencer Dinwiddie,PG,30,0.904,0.746,0.392,0.337,0.805,0.087,0.228,0.431,0.273,0.333,0.083,0.303,0.644,0.709,0.525,-0.353,0.585,21911797
1630649,Stanley Umude,SG,24,0.277,0.332,0.44,0.453,0.9,0.065,0.178,0.046,0.136,0.143,0.083,0.153,0.458,0.713,0.531,-0.441,0.58,538460
201939,Stephen Curry,PG,35,0.88,0.864,0.45,0.408,0.9,0.109,0.396,0.468,0.636,0.333,0.111,0.761,0.722,0.773,0.664,3.0,0.75,51915615
1629004,Svi Mykhailiuk,SF,26,0.482,0.259,0.416,0.389,0.667,0.065,0.099,0.083,0.068,0.143,0.0,0.115,0.769,0.735,0.527,-0.441,0.585,2019706
204456,T.J. McConnell,PG,31,0.843,0.476,0.556,0.409,0.79,0.109,0.218,0.505,0.341,0.476,0.028,0.294,0.662,0.774,0.621,0.967,0.756,8700000
203933,T.J. Warren,SF,30,0.12,0.291,0.439,0.2,0.75,0.109,0.149,0.073,0.091,0.19,0.028,0.107,0.815,0.686,0.475,-0.529,0.539,452693
201959,Taj Gibson,PF,38,0.229,0.262,0.405,0.2,0.9,0.13,0.129,0.055,0.068,0.095,0.111,0.049,0.532,0.669,0.459,-0.617,0.478,2961636
1629659,Talen Horton-Tucker,PG,23,0.602,0.519,0.396,0.33,0.807,0.087,0.198,0.321,0.295,0.429,0.111,0.291,0.505,0.664,0.539,-0.265,0.617,11020000
1631106,Tari Eason,PF,22,0.253,0.572,0.466,0.36,0.636,0.457,0.485,0.11,0.205,0.667,0.25,0.282,0.787,0.755,0.594,-0.089,0.685,3527160
1627752,Taurean Prince,PF,29,0.928,0.711,0.442,0.396,0.735,0.065,0.267,0.138,0.205,0.333,0.111,0.256,0.532,0.668,0.508,-0.793,0.531,4516000
1641707,Taylor Hendricks,PF,20,0.47,0.561,0.45,0.379,0.793,0.261,0.347,0.073,0.159,0.333,0.222,0.21,0.426,0.697,0.531,-0.353,0.587,5569920
1631386,Taze Moore,SG,25,0.036,0.259,0.421,0.2,0.5,0.217,0.099,0.119,0.182,0.238,0.0,0.13,0.347,0.604,0.502,-0.441,0.587,64343
1629611,Terance Mann,SG,27,0.892,0.658,0.515,0.348,0.832,0.261,0.218,0.147,0.136,0.286,0.056,0.254,0.634,0.735,0.533,-0.265,0.591,10576923
